origin,destination,cost
1,3,500
1,5,550
2,46,130
2,8,1300
2,10,1200
3,4,130
4,5,450
4,7,1000
5,6,400
5,8,1300
6,7,750
6,8,1200
6,11,1300
7,4,1000
7,11,900
7,39,600
7,40,550
8,2,1300
8,5,1300
8,6,1200
8,9,500
8,10,600
9,8,500
9,11,700
9,12,280
10,2,1200
10,8,600
11,6,1300
11,7,900
11,9,700
11,47,1200
11,12,400
11,14,250
11,39,1000
12,9,280
12,11,400
12,13,700
12,14,300
12,15,900
12,17,1400
12,20,950
13,12,700
13,14,650
13,15,280
13,21,350
13,25,350
13,47,1900
14,11,250
14,12,300
14,13,650
14,47,1300
15,12,900
15,13,280
15,20,250
15,21,450
15,22,400
16,17,500
16,30,1200
17,12,1400
17,16,500
17,18,280
17,20,550
18,17,280
18,19,400
18,20,550
18,30,1200
19,18,400
19,22,600
19,48,77
20,12,950
20,15,250
20,18,550
20,22,270
21,13,350
21,15,170
21,22,450
21,25,450
22,19,600
22,25,750
23,25,900
23,26,300
23,27,600
23,48,750
24,26,40
24,28,350
24,31,1100
24,48,650
24,34,950
25,13,350
25,22,750
25,27,750
25,47,1500
26,28,350
26,48,650
27,38,800
27,47,2200
27,28,600
27,29,850
28,29,350
28,34,1000
28,24,350
29,34,1200
29,37,700
29,36,700
29,38,1000
30,16,1200
30,18,1200
30,31,650
30,48,1200
31,48,1000
31,24,1100
31,34,1300
31,32,350
32,34,1000
32,33,200
33,34,750
33,35,350
33,36,1500
34,36,1300
35,36,1700
35,50,2300
36,50,2000
36,37,600
36,29,700
37,38,300
38,47,2300
39,47,900
39,40,600
39,7,600
40,41,750
40,43,3200
40,47,1600
40,7,550
41,42,200
42,43,1800
43,44,2200
44,45,400
44,47,1500
45,49,1400
45,47,1300
46,1,450
46,2,130
47,11,1200
47,13,1900
47,14,1300
47,25,1500
47,27,2200
47,38,2300
47,39,900
47,40,1600
47,44,1500
47,45,1300
48,19,77
48,23,750
48,24,650
48,26,650
48,30,1200
48,31,1000
49,45,1400
50,35,2300
50,36,2000
2,1,600
3,1,500
5,1,550
4,3,130
5,4,450
6,5,400
7,6,750
39,11,1000
22,15,400
20,17,550
17,20,550
22,21,450
25,21,450
25,23,900
26,23,300
27,23,600
26,24,40
34,24,950
27,25,350
28,26,350
38,27,800
29,27,850
29,28,350
34,28,1000
37,29,1200
38,29,1000
31,30,650
34,28,1100
32,31,1300
33,32,200
34,32,1000
35,33,750
36,33,1500
36,34,1300
32,34,1000
36,35,1700
50,35,750
38,37,300
40,39,900
7,39,600
41,40,750
43,40,3200
42,41,200
43,42,1800
44,43,2200
45,44,400
