origin,destination,cost
USAT,TTPLAZNOR,600
USAT, CSTM,450
USAT,HOSPREGLAMB,500
USAT,MALL,550
TTPLAZNOR,CSTM,130
TTPLAZNOR,HIPBOPRECUNO,1300
TTPLAZNOR,HIPMERCE,1200
HOSPREGLAMB,UTP,130
UTP,MALL,450
UTP,PSJMV,1000
MALL,UGEL,400
MALL,HIPBOPRECUNO,1300
UGEL,PSJMV,750
UGEL,HIPBOPRECUNO,1200
UGEL,HOSPSOL,1300
PSJMV,UTP,1000
PSJMV,HOSPSOL,900
PSJMV,PLAZMEDAMILA,600
PSJMV,METSANELE,550
HIPBOPRECUNO,TTPLAZNOR,1300
HIPBOPRECUNO,MALL,1300
HIPBOPRECUNO,UGEL,1200
HIPBOPRECUNO,MAES,500
HIPBOPRECUNO,HIPMERCE,600
MAES,HIPBOPRECUNO,500
MAES,HOSPSOL,700
MAES,CECOTUMREA,280
HIPMERCE,TTPLAZNOR,1200
HIPMERCE,HIPBOPRECUNO,600
HOSPSOL,UGEL,1300
HOSPSOL,PSJMV,900
HOSPSOL,MAES,700
HOSPSOL,CARPMETA,1200
HOSPSOL,CECOTUMREA,400
HOSPSOL,RESJULIA,250
HOSPSOL,PLAZMEDAMILA,1000
CECOTUMREA, MAES,280
CECOTUMREA,HOSPSOL,400
CECOTUMREA,CASAND,700
CECOTUMREA,RESJULIA,300
CECOTUMREA,BCRP,900
CECOTUMREA,OLANO,1400
CECOTUMREA,PLELIAGU,950
CASAND,CECOTUMREA,700
CASAND,RESJULIA,650
CASAND,BCRP,280
CASAND,SUNAT,350
CASAND,COSANJO,350
CASAND,CARPMETA,1900
RESJULIA,HOSPSOL,250
RESJULIA,CECOTUMREA,300
RESJULIA,CASAND,650
RESJULIA,CARPMETA,1300
BCRP,CECOTUMREA,900
BCRP,CASAND,280
BCRP,PLELIAGU,250
BCRP,SUNAT,450
BCRP,HOSMERC,400
MERCMOD,OLANO,500
MERCMOD,COMICAMPO,1200
OLANO,CECOTUMREA,1400
OLANO,MERCMOD,500
OLANO,COFART,280
OLANO,PLELIAGU,550
COFART,OLANO,280
COFART,RIPLEY ,400
COFART,PLELIAGU ,550
COFART,COMICAMPO,1200
RIPLEY,COFART,400
RIPLEY,HOSMERC,600
RIPLEY,CATECHIC,77
PLELIAGU,CECOTUMREA,950
PLELIAGU,BCRP,250
PLELIAGU,COFART,550
PLELIAGU,HOSMERC,270
SUNAT,CASAND,350
SUNAT,BCRP,170
SUNAT,HOSMERC,450
SUNAT,COSANJO,450
HOSMERC,RIPLEY,600
HOSMERC,COSANJO,750
PRIMAX,COSANJO,900
PRIMAX,METBAL,300
PRIMAX,METGRA,600
PRIMAX,CATECHIC,750
ENTRA,METBAL,40
ENTRA,LASMUS,350
ENTRA,HOSPALMAN,1100
ENTRA,CATECHIC,650
ENTRA,OPENPLAZ,950
COSANJO,CASAND,350
COSANJO,HOSMERC,750
COSANJO,METGRA,750
COSANJO,CARPMETA,1500
METBAL,LASMUS,350
METBAL,CATECHIC,650
METGRA,COLSANMAREY,800
METGRA,CARPMETA,2200
METGRA,LASMUS,600
METGRA,PASEÑOPAZ,850
LASMUS,PASEÑOPAZ,350
LASMUS,OPENPLAZ,1000
LASMUS,ENTRA,350
PASEÑOPAZ,OPENPLAZ,1200
PASEÑOPAZ,BRAROJA,700
PASEÑOPAZ,PASYOR,700
PASEÑOPAZ,COLSANMAREY,1000
COMICAMPO,MERCMOD,1200
COMICAMPO,COFART,1200
COMICAMPO,HOSPALMAN,650
COMICAMPO,CATECHIC,1200
HOSPALMAN,CATECHIC,1000
HOSPALMAN,ENTRA,1100
HOSPALMAN,OPENPLAZ,1300
HOSPALMAN,BOULE,350
BOULE,OPENPLAZ,1000
BOULE,REALPLAZ,200
REALPLAZ,OPENPLAZ,750
REALPLAZ,AER,350
REALPLAZ,PASYOR,1500
OPENPLAZ,PASYOR,1300
AER,PASYOR,1700
AER,RESJOCKEY,2300
PASYOR,RESJOCKEY,2000
PASYOR,BRAROJA,600
PASYOR,PASEÑOPAZ,700
BRAROJA,COLSANMAREY,300
COLSANMAREY,CARPMETA,2300
PLAZMEDAMILA,CARPMETA,900
PLAZMEDAMILA,METSANELE,600
PLAZMEDAMILA,PSJMV,600
METSANELE,RESTRIPATO,750
METSANELE,GOBREGILAMB,3200
METSANELE,CARPMETA,1600
METSANELE,PSJMV,550
RESTRIPATO,COLEOBSTE,200
COLEOBSTE,GOBREGILAMB,1800
GOBREGILAMB,PARQROSA,2200
PARQROSA,MERCSOL,400
PARQROSA,CARPMETA,1500
MERCSOL,SANTPAZ,1400
MERCSOL,CARPMETA,1300
