origin,destination,cost
USAT,TER,600
USAT,CSAT,450
USAT,HREG,500
USAT,MALL,550
HREG,UTP,130
CSAT,TER,130
UTP,MALL,450
UTP,PRRQ,1000
MALL,UGEL,400
MALL,UNO,1300
UGEL,PRRQ,750
UGEL,HSOL,1300
UGEL,UNO,1200
PRRQ,MTRSE,550
PRRQ,PLZV,600
PRRQ,HSOL,900
TER,CERA,1200
CERA,UNO,600
TER,UNO,1300
UNO,MSTR,500
CERA,UNO,600
MTRSE,RINC,750
MTRSE,GOB,3200
MTRSE,CARPI,1600
MTRSE,PLZV,600
RINC,OBSTE,200
GOB,OBSTE,1800
GOB,PARQ,2200
PARQ,MERCA,400
PARQ,CARPI,1500
MERCA,SANTU,1400
MERCA,CARPI,1300
PLZV,HSOL,1000
PLZV,CARPI,900
MSTR,HSOL,700
HSOL,TJUL,250
HSOL,TUMB,400
MSTR,TUMB,280
TJUL,TUMB,300
CARPI,TJUL,1300
CARPI,HSOL,1200
CARPI,CSAND,1900
CARPI,SNJO,1500
CARPI,MTRGR,2200
CARPI.SMR,2300
SMR,MTRGR,800
SMR,BROJ,300
SMR,CONSL,1000
BROJ,CONSL,700
BROJ,YRTQ,600
CONSL,YRTQ,700
YRTQ,JCKY,2000
JCKY,CIX,2300
YRTQ,CIX,1700
YRTQ,RP,1500
YRTQ,OP,1300
CONSL,MUSA,350
MTRGR,MUSA,600
MTRGR,CONSL,850
MTRGR,PRIMAX,600
PRIMAX,MTRBA,300
MTRGR,SNJO750
SNJO,MRCDS,750
