code,name
USAT,USAT
TTPLAZNOR,Terminal Terrestre
CSTM,Colegio Santo Toribio de Mogrovejo
HRL,Hospital Regional de Lambayeque
UTP,UTP
MALL,Mall Aventura
UGEL,UGEL
PSJMV,Parroqui San Juan M. Vianey
HBPU,Hiper Bodega Precio Uno
MAES,Maestro
HIMECE,HiperMercado Ceramica
HOSPSOL,Hospital Solidaridad
CECOTUMREA,Centro de Convenciones Tumbas Reales
CASAND,Casa Andina
RESJULIA,Tia Julia
BCRP,BCRP
MERCMOD,Mercado Modelo
OLANO,Olano
COFART,Coffe Art
RIPLEY,Ripley
PLELIAGU,Plazuela Elias Aguirre
SUNAT,SUNAT
HOSMERC,Hospital Las Mercedes
PRIMAX,PRIMAX
ENTRA,ENTRAFESA
COSANJO,Colegio San Jose
METBAL,Metro Balta
METGRA,Metro Grau
LASMUS,Las Musas
PASEÑOPAZ,Parroquia Nuestra Señora de la Consolación
COMICAMPO,Comisaria Campodonico
HOSPALMAN,Hospital Almanzor
BOULE,Bulevard
CATECHIC,Catedral de Chiclayo
REALPLAZ,Real Plaza
OPENPLAZ,Open Plaza
AER,Aeropuerto Jose Abelardo
PASYOR,Paseo Yortuque
BRAROJA,Brasa Roja
RESJOCKEY,Residencial Jockey Club
COLSANMAREY,Colegio Santa Maria Reina
PLAZMEDAMILA,Plaza de la Virgen de la Medalla Milagrosa
METSANELE,Metro Santa Elena
RESTRIPATO,Ricon del Pato
COLEOBSTE,Colegio de las Obstetras
GOBREGILAMB,Gobierno Regional de Lambayeque
PARQROSA,Parque El Rosario
MERCSOL,Mercado Sol de Oro
CARPMETA,Carpinteria Metalica Calderon
SANTPAZ,Santuario Nuestra Señora de la Paz
